"species","phenology","mixed_cv_r2","mixed_cv_rmse","n_obs","n_trees","gamm_cv_r2","gamm_cv_rmse","gamm_improvement","rmse_improvement","gamm_wins"
"Siberian Elm","Dormancy_doy",0.42674722311457,13.1223426395684,2073,328,0.423587839048442,13.1585635582988,-0.00315938406612803,-0.0362209187304536,FALSE
"Silver Maple","Dormancy_doy",0.145524652521541,15.2562065864851,6142,952,0.262685962496718,14.1714755343588,0.117161309975177,1.08473105212622,TRUE
"Tree of heaven","Dormancy_doy",0.374662834020051,13.7941727634135,611,92,0.36599363742285,13.8858515927204,-0.00866919659720072,-0.0916788293069253,FALSE
"Western Catalpa","Dormancy_doy",0.353730243443568,13.9495050204283,377,60,0.405312496349462,13.3748472174078,0.0515822529058946,0.574657803020536,TRUE
"American Elm","growing_season",0.42789019641641,21.5318179839465,2032,313,0.437685396098504,21.3465388968302,0.0097951996820938,0.185279087116307,TRUE
"American Linden","growing_season",0.511372606692453,21.3029679128739,532,83,0.484927080554358,21.8613149764315,-0.0264455261380957,-0.558347063557619,FALSE
"Common Hackberry","growing_season",0.359305818621858,20.135254811562,1566,237,0.326289120022139,20.6482878764756,-0.0330166985997192,-0.51303306491354,FALSE
"Eastern Cottonwood","growing_season",0.371428781235609,18.6534251507703,1647,248,0.206430326227609,20.959279943528,-0.164998455008,-2.30585479275768,FALSE
"Green Ash","growing_season",0.497316095283054,21.5824817024785,3239,495,0.386194739784612,23.8489333682431,-0.111121355498442,-2.26645166576456,FALSE
"Honey Locust","growing_season",0.45526738355339,19.2751974538208,2214,343,0.319452021725917,21.5444985568114,-0.135815361827473,-2.2693011029906,FALSE
"Northern Red Oak","growing_season",0.399772673744887,19.5013755710739,558,86,0.327195880678839,20.6495624517159,-0.0725767930660481,-1.14818688064201,FALSE
"Plains Cottonwood","growing_season",0.505645201018718,19.6441617428166,1475,230,0.0498687568284626,27.2408553734021,-0.455776444190255,-7.59669363058545,FALSE
"Siberian Elm","growing_season",0.32876455432296,19.7298038281853,2073,328,0.3617855574018,19.2385347270365,0.0330210030788401,0.491269101148859,TRUE
"Silver Maple","growing_season",0.234510291425229,19.7449389041334,6142,952,0.243955036791102,19.6222520405611,0.00944474536587278,0.122686863572294,TRUE
"Tree of heaven","growing_season",0.505394153484823,19.2498918700319,611,92,0.318824049649172,22.5864235021996,-0.18657010383565,-3.33653163216769,FALSE
"Western Catalpa","growing_season",0.453549880140105,20.4390813879339,377,60,0.443671448982487,20.6215274257919,-0.0098784311576175,-0.182446037858007,FALSE
