,date,time,pss4_instrument
676,4/11/2022,170546,2262
677,4/11/2022,174411,2402
678,4/14/2022,172239,2461
679,4/15/2022,172442,248e
680,4/16/2022,170755,2262
681,4/17/2022,171002,2251
682,4/18/2022,172746,2498
683,4/19/2022,173921,2274
684,4/20/2022,174019,2414
685,4/21/2022,165025,245d
686,4/22/2022,174435,2402
687,4/23/2022,172151,248e
688,4/25/2022,164934,2428
689,4/26/2022,172335,2492
690,5/3/2022,173543,227b
691,5/5/2022,173958,2274
692,5/9/2022,164906,2428
693,5/10/2022,174105,2407
694,5/11/2022,172237,2492
695,5/12/2022,172441,247c
696,5/13/2022,165317,245c
697,5/15/2022,165525,242d
698,5/25/2022,165408,2430
699,5/26/2022,172731,249d
700,5/30/2022,171609,2231
701,6/2/2022,173916,240c
702,6/3/2022,172455,2438
703,6/5/2022,172521,247e
704,6/7/2022,172346,249c
705,6/8/2022,173528,227a
706,6/11/2022,172200,249a
707,6/12/2022,173907,2254
708,6/13/2022,172211,2470
709,6/13/2022,173559,2274
710,6/15/2022,172427,248f
711,6/16/2022,173912,2424
712,6/17/2022,164958,2435
713,6/21/2022,165416,2434
714,6/22/2022,165236,241e
715,6/23/2022,172417,24a3
716,6/27/2022,172255,2470
717,6/28/2022,172450,249c
718,7/1/2022,171725,2233
719,7/2/2022,173823,2414
720,7/3/2022,172533,2478
721,7/4/2022,173747,241c
722,7/5/2022,164810,2459
723,7/6/2022,174027,2426
724,7/7/2022,172354,2474
725,7/8/2022,173427,227a
726,7/9/2022,170700,2251
727,7/12/2022,173924,2254
728,7/13/2022,172254,2484
729,7/14/2022,172357,247f
730,7/14/2022,173945,2402
731,7/16/2022,171925,247b
732,7/17/2022,172453,247e
733,7/18/2022,172048,249b
734,7/19/2022,173840,2402
735,7/22/2022,173341,2416
736,7/24/2022,172452,2485
737,7/25/2022,171336,2231
738,7/26/2022,173838,2426
739,7/26/2022,173909,241c
740,7/27/2022,172240,2498
741,7/30/2022,172223,2446
742,8/7/2022,165107,2439
743,8/8/2022,172236,248b
744,8/9/2022,164818,2428
745,8/9/2022,172259,248f
746,8/10/2022,165641,2212
747,8/10/2022,171818,2233
748,8/11/2022,164632,2460
749,8/11/2022,172456,2479
750,8/12/2022,172221,247b
751,8/13/2022,172608,247e
752,8/14/2022,173453,2424
753,8/15/2022,165212,2428
754,8/17/2022,165034,2460
755,8/18/2022,172703,24a4
756,8/21/2022,172318,248e
757,8/22/2022,165035,2421
758,8/23/2022,172128,2480
759,8/24/2022,173447,241c
760,8/25/2022,164812,2451
761,8/25/2022,165645,2212
762,8/27/2022,173144,2416
763,8/28/2022,165332,2421
764,8/28/2022,165612,2212
765,8/29/2022,172554,2473
766,8/30/2022,172329,2474
767,9/1/2022,174053,2413
768,9/2/2022,172500,247e
769,9/3/2022,171019,2276
770,9/4/2022,172527,2486
771,9/5/2022,173820,227c
772,9/6/2022,172612,2482
773,9/7/2022,165139,2439
774,9/7/2022,172726,2477
775,9/8/2022,172538,2461
776,9/11/2022,165143,2427
777,9/12/2022,173947,2426
778,9/13/2022,172552,2479
779,9/16/2022,172406,249b
780,9/17/2022,165244,2427
781,9/17/2022,173143,2416
782,9/18/2022,172729,2492
783,9/19/2022,165407,2439
784,9/20/2022,172406,24a4
785,9/23/2022,165321,2427
786,9/23/2022,170511,2262
787,9/24/2022,172244,248f
788,9/25/2022,171159,2276
789,9/26/2022,173546,227c
790,9/29/2022,172131,249b
791,10/5/2022,173528,2254
792,10/6/2022,172551,2490
793,10/8/2022,173359,227a
794,10/9/2022,165211,2465
795,10/10/2022,164942,2432
796,10/11/2022,164953,2427
797,10/11/2022,165129,2430
798,10/11/2022,173438,241c
799,10/12/2022,172249,247a
800,10/13/2022,170010,2212
801,10/14/2022,172303,247f
802,10/14/2022,173151,2416
803,10/17/2022,164735,2430
804,10/18/2022,172501,247a
805,10/19/2022,172322,248f
806,10/20/2022,172500,247f
807,10/21/2022,172545,2438
808,10/22/2022,172558,2446
809,10/24/2022,172147,2475
810,10/25/2022,172237,249e
811,10/26/2022,172433,2474
812,10/28/2022,165136,2427
813,10/29/2022,170943,2276
